ticker,company_name,sector,industry,current_price,market_cap_billions,total_score,growth_score,value_score,quality_score,momentum_score,sentiment_score,sector_score,revenue_growth,earnings_growth,gross_margin,operating_margin,trailing_pe,forward_pe,price_to_sales,price_to_book,peg_ratio,return_on_equity,debt_to_equity,insider_ownership,institutional_ownership,short_percent,target_price,recommendation,num_analysts,beta,average_volume
EBC,"Eastern Bankshares, Inc.",Financial Services,Banks - Regional,20.41,4.591225344,48,22,7,5,4,6,4,0.328,0.537,0.0,0.49318,47.465115,9.254851,6.58996,1.0118989,,0.022179998,,0.01193,0.72821,0.0355,23.08333,1.66667,6.0,0.811,2225343
FIP,FTAI Infrastructure Inc.,Industrials,Conglomerates,5.99,0.69660384,48,12,13,6,6,2,9,0.687,,0.37337002,0.17159,,-4.5378785,1.5840293,3.8471417,,-0.31358,351.993,0.07801,0.83575994,0.1989,11.66667,,3.0,1.991,1354628
FIVN,"Five9, Inc.",Technology,Software - Infrastructure,17.79,1.391463552,48,8,15,6,4,0,15,0.082,,0.55559,0.056479998,46.815792,5.59735,1.2341512,1.7947943,,0.04666,102.931,0.01564,1.1982399,0.105,33.42857,,21.0,1.324,2081971
FWRG,"First Watch Restaurant Group, I",Consumer Cyclical,Restaurants,16.16,0.986278784,48,19,14,1,8,2,4,0.256,0.634,0.20363002,0.03597,202.0,49.014256,0.843377,1.6239574,,0.0083,161.852,0.0212,1.23931,0.1371,22.18182,1.36364,11.0,0.885,1262975
HCKT,"The Hackett Group, Inc.",Technology,Information Technology Services,18.53,0.502734048,48,5,11,10,4,6,12,-0.074,-0.71,0.38483003,0.118769996,48.76316,10.942935,1.6565531,4.94661,,0.10271,45.738,0.11444,0.87033,0.039300002,28.33333,,3.0,1.046,319520
HLIT,Harmonic Inc.,Technology,Communication Equipment,9.86,1.121668864,48,5,10,12,8,4,9,-0.273,-0.893,0.55781,0.0766,23.47619,13.506848,1.7644348,2.497467,,0.11383,33.083,0.02489,0.91247004,0.0296,11.78571,2.42857,7.0,1.039,1065025
IBRX,"ImmunityBio, Inc.",Healthcare,Biotechnology,5.91,5.821144064,48,12,5,5,6,5,15,4.251,,0.99551004,-1.73513,,-23.025675,70.512314,-11.109022,,,,0.66406995,0.14882,0.3838,11.8,1.2,5.0,-0.042,24809278
INVX,"Innovex International, Inc.",Energy,Oil & Gas Equipment & Services,25.17,1.734912512,48,17,10,9,0,3,9,0.581,-0.714,0.32348,0.1042,39.328125,16.23871,1.8160233,1.6697625,,0.10406999,7.939,0.024489999,1.0561299,0.0753,22.66667,,3.0,,396556
JBI,"Janus International Group, Inc.",Industrials,Building Products & Equipment,6.88,0.955574976,48,11,14,4,6,4,9,-0.047,0.368,0.39158002,0.13908,20.235294,10.834646,1.0752503,1.7029704,,0.08644,108.613,0.04976,1.0322,0.027999999,9.3,,5.0,1.442,1713156
JCAP,"Jefferson Capital, Inc.",Financial Services,Credit Services,21.26,1.31023744,48,14,10,10,4,6,4,0.38,,0.70553,0.46583,8.932773,7.5323296,2.2834988,2.8335333,,,271.429,0.08944,0.96242,0.0224,26.8,,5.0,,278233
KVYO,"Klaviyo, Inc. Series A",Technology,Software - Application,22.32,6.739418624,48,9,10,10,6,1,12,0.322,,0.75146,-0.02135,,27.687841,5.8401117,5.9000793,,-0.06099,9.93,0.0273,0.919,0.0653,43.3913,1.25,23.0,1.085,2953463
LEGN,Legend Biotech Corporation,Healthcare,Biotechnology,17.72,3.272699136,48,12,12,4,2,3,15,0.7,,0.14595,-0.15956001,,28.338396,3.6001508,3.2365296,,-0.22534999,40.567,0.01302,0.48009998,0.2008,66.32118,1.5,17.0,0.126,2406575
NGVC,Natural Grocers by Vitamin Cott,Consumer Defensive,Grocery Stores,26.25,0.604618688,48,14,13,6,4,7,4,0.042,0.307,0.33765998,0.04606,13.125,11.563877,0.45431495,2.8369176,,0.24024001,156.321,0.43833,0.42066002,0.0887,54.0,,1.0,1.249,288013
PRCH,"Porch Group, Inc.",Technology,Software - Application,8.0,0.842970816,48,8,10,7,4,7,12,0.062,,0.73426,0.13834,25.806452,-10.666667,1.905092,-29.962547,,,3691.523,0.17532,0.65182996,0.2305,17.625,1.25,8.0,3.056,1798421
RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services,6.7,1.478132992,48,14,10,7,0,8,9,0.324,-0.328,0.25361001,0.05302,30.454544,25.015865,0.9622322,1.3181192,,0.04405,7.348,0.59257,0.42543,0.1887,6.2,,6.0,0.633,1816018
SCHL,Scholastic Corporation,Communication Services,Publishing,35.55,0.90445216,48,9,10,12,4,4,9,0.012,0.269,0.56122,0.16766001,,16.307339,0.55816597,0.97128487,,-0.0035499998,43.052,0.18255,0.86221004,0.099,36.0,,2.0,1.178,345330
SEM,Select Medical Holdings Corpora,Healthcare,Medical Care Facilities,15.0,1.859838976,48,8,12,2,8,6,12,0.072,-0.468,0.17063999,0.05351,18.292683,11.474294,0.34641874,1.099465,,0.077,137.554,0.15786,0.83658,0.0838,18.4,,5.0,1.023,996940
SHC,Sotera Health Company,Healthcare,Diagnostics & Research,18.32,5.20460032,48,16,4,11,2,6,9,0.091,1.833,0.55979997,0.40565,91.6,19.514065,4.524248,9.453044,,0.108610004,414.101,0.02345,0.78623,0.041500002,20.4375,,8.0,1.828,2507578
SPIR,"Spire Global, Inc.",Industrials,Specialty Business Services,12.1,0.400513152,48,5,7,12,8,7,9,-0.557,,0.38452,-1.66148,34.57143,-10.868297,5.175458,2.9737039,,0.34345,9.414,0.08059,0.39937,0.1157,13.7,1.4,5.0,2.447,760888
STWD,"STARWOOD PROPERTY TRUST, INC. S",Real Estate,REIT - Mortgage,18.18,6.907151872,48,17,7,5,8,7,4,0.67,-0.174,0.87973,-0.00101,17.650486,9.939206,14.077525,0.9807942,,0.05406,284.262,0.05468,0.5392,0.031600002,21.25,2.11111,8.0,1.159,3482176
ZD,"Ziff Davis, Inc.",Communication Services,Advertising Agencies,39.6,1.623714944,48,8,10,11,8,2,9,0.029,,0.861,0.12649,15.40856,5.414977,1.1141337,0.88039124,,0.06255,49.827,0.02348,1.1456,0.18,43.42857,2.28571,7.0,1.372,643855
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,9.79,1.325804288,47,8,14,2,8,3,12,0.018,0.067,0.21502,0.081829995,17.8,9.843945,0.4072865,0.8022617,,0.05519,117.176,0.02475,1.03988,0.091000006,13.375,,8.0,1.713,1078178
AIRO,"AIRO Group Holdings, Inc.",Industrials,Aerospace & Defense,10.92,0.341837856,47,0,14,9,0,9,15,-0.735,,0.63782,-1.9065,,-21.203884,4.1506343,0.46222222,,-0.00741,1.985,0.34702,0.25534,0.0394,19.66667,,3.0,,750880
AMSC,American Superconductor Corpora,Industrials,Specialty Industrial Machinery,31.45,1.49714368,47,11,10,6,6,5,9,0.209,-0.155,0.2991,0.04502,85.0,28.418589,5.6225047,4.1529117,,0.05723,1.066,0.03833,0.73947,0.056799997,61.0,1.0,3.0,2.969,975155
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,37.485,0.80633728,47,8,12,6,8,4,9,0.021,-0.198,0.23828,0.08687,20.045454,11.812512,0.5763368,1.5727533,,0.07734,60.96,0.02419,0.99811995,0.034,43.33333,,3.0,1.069,254783
AR,Antero Resources Corporation,Energy,Oil & Gas E&P,35.3,10.890406912,47,8,12,10,6,2,9,0.134,,0.67002,0.111999996,18.677248,10.655445,2.1747088,1.4819479,,0.08578,47.492,0.06583,0.88664,0.0419,43.4,1.80952,20.0,0.507,5610946
AZTA,"Azenta, Inc.",Healthcare,Medical Instruments & Supplies,39.0,1.793593472,47,8,9,8,8,2,12,0.052,,0.45523998,0.0112,73.58491,38.423645,3.020428,1.035609,,0.0139999995,3.47,0.00873,1.1438,0.1391,43.5,,6.0,1.315,644996
BOX,"Box, Inc.",Technology,Software - Infrastructure,25.49,3.650877184,47,8,8,12,2,2,15,0.091,-0.045,0.78925,0.08324,20.392,17.555702,3.1721985,-12.821931,,2.04265,361.063,0.03073,1.06791,0.1162,35.625,,8.0,0.807,2269051
BUSE,First Busey Corporation,Financial Services,Banks - Regional,24.68,2.181935104,47,23,9,5,0,6,4,0.712,0.286,0.0,0.42758,16.789116,9.116632,3.2720468,0.8758917,,0.07022,,0.061350003,0.65532994,0.0187,27.14286,2.28571,7.0,0.782,465565
BVS,Bioventus Inc.,Healthcare,Medical Devices,7.82,0.523756064,47,5,13,6,4,7,12,-0.002,,0.67757004,0.08125,48.875004,9.836478,0.9289272,3.153226,,0.06379,164.612,0.11715,0.74377,0.0652,15.0,,3.0,0.792,306651
CERT,"Certara, Inc.",Healthcare,Health Information Services,9.26,1.474871296,47,8,13,11,4,2,9,0.103,,0.61444,0.06534,132.28572,16.957844,3.5491943,1.3862276,,0.0102699995,29.038,0.025120001,1.1674299,0.18030001,12.375,,12.0,1.465,2281786
EGY,"VAALCO Energy, Inc.",Energy,Oil & Gas E&P,5.17,0.539015168,47,5,15,9,2,7,9,-0.565,-0.9,0.61095,-0.0032,19.148148,8.406504,1.3822638,1.06554,,0.057350002,29.207,0.0287,0.59863,0.0359,8.18333,1.0,3.0,0.203,972423
ETON,"Eton Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,15.25,0.408967424,47,12,9,4,8,5,9,1.175,,0.56586,-0.00174,,15.09901,5.816136,17.691416,,-0.34173,133.516,0.04363,0.66297996,0.0795,30.0,,3.0,1.18,258581
EXLS,"ExlService Holdings, Inc.",Technology,Information Technology Services,38.6,6.234407424,47,8,9,13,2,3,12,0.122,0.098,0.38236,0.14375,26.08108,17.60178,3.076456,6.439773,,0.25962,45.835,0.028269999,1.01315,0.0657,52.14286,,7.0,0.908,1182945
FRSH,Freshworks Inc.,Technology,Software - Application,10.64,3.10080128,47,6,12,10,4,3,12,0.153,,0.84773004,-0.03466,,15.399089,3.8251274,3.520847,,-0.02982,4.659,0.07084,0.83215,0.0765,18.35714,1.9375,14.0,0.889,3931851
FULT,Fulton Financial Corporation,Financial Services,Banks - Regional,20.64,3.71303552,47,17,10,7,4,5,4,0.164,0.467,0.0,0.39269,9.923077,9.000013,2.9066792,1.1259615,,0.11711001,,0.011,0.79296,0.064,23.05,2.0,5.0,0.869,1741553
HFWA,Heritage Financial Corporation,Financial Services,Banks - Regional,25.48,0.865389952,47,19,11,5,4,4,4,0.202,0.908,0.0,0.39834,12.999999,8.871866,3.5442255,0.9391125,,0.07566,,0.01594,0.87619,0.0403,30.2,2.5,5.0,0.523,227093
MNTN,"MNTN, Inc.",Technology,Software - Application,9.55,0.699282368,47,6,13,7,2,7,12,0.226,,0.75549006,0.10754,,9.757443,2.5632858,2.621466,,-0.27703,,0.13764,0.59108,0.1041,26.35,1.5,10.0,,720231
NABL,"N-able, Inc.",Technology,Information Technology Services,6.15,1.150641024,47,3,15,11,2,4,12,0.131,-0.873,0.80997,0.13002,,12.551021,2.3120794,1.4186851,,-0.00825,45.369,0.0135,1.00288,0.0328,9.65,2.0,5.0,0.61,906750
OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,33.89,5.500179456,47,8,10,8,6,3,12,0.122,0.032,0.19408001,0.05889,26.896826,18.081512,0.99451923,3.9936364,,0.15025,93.931,0.00808,1.06372,0.0825,39.81818,1.5,11.0,0.805,2023493
OTF,Blue Owl Technology Finance Cor,Financial Services,Asset Management,13.4,6.279584768,47,12,9,16,2,4,4,0.888,-0.114,1.0,0.6771,7.4444447,9.737523,6.332978,0.7759569,,0.1058,61.658,0.00046,0.21565,,15.77778,2.0,9.0,,1238455
PAA,"Plains All American Pipeline, L",Energy,Oil & Gas Midstream,19.69,13.891252224,47,13,10,5,2,8,9,-0.07,1.458,0.06665,0.033859998,19.116507,11.572075,0.29608142,1.7973529,,0.10083,74.194,0.34039003,0.39176998,0.0312,20.58824,2.47059,17.0,0.561,3003035
PAR,PAR Technology Corporation,Technology,Software - Application,27.57,1.119094784,47,6,15,6,6,2,12,0.232,,0.43925998,-0.12229,,45.623787,2.540793,1.3353676,,-0.116359994,48.01,0.01763,1.22305,0.21360001,59.11111,1.3,9.0,1.346,734448
PARR,"Par Pacific Holdings, Inc. Comm",Energy,Oil & Gas Refining & Marketing,36.47,1.853211776,47,8,12,8,8,2,9,-0.061,38.692,0.16018999,0.17593999,7.8599143,9.635556,0.24763538,1.3127677,,0.17809999,101.445,0.03001,1.04107,0.125,45.5,2.125,8.0,1.239,1242381
PHAT,"Phathom Pharmaceuticals, Inc.",Healthcare,Biotechnology,13.53,1.055521792,47,12,7,5,4,4,15,2.027,,0.8725,-0.30848,,-121.01968,7.1711516,-2.2747142,,,,0.04699,0.77032,0.21030001,22.9,1.45455,10.0,0.486,1065351
RVLV,"Revolve Group, Inc.",Consumer Cyclical,Internet Retail,28.2,2.011625344,47,16,6,13,6,2,4,0.044,0.916,0.53317,0.07436,36.62338,31.383198,1.6833136,4.1036086,,0.11935,7.199,0.00656,1.1352301,0.1883,29.07143,2.0625,14.0,1.758,1032855
S,"SentinelOne, Inc.",Technology,Software - Infrastructure,14.07,4.781956608,47,6,11,10,2,3,15,0.229,,0.74691004,-0.26395,,46.931286,5.0038996,3.0841737,,-0.25791,0.667,0.011080001,0.78766996,0.0633,21.01515,1.77778,33.0,0.772,8178656
SERV,Serve Robotics Inc.,Industrials,Specialty Industrial Machinery,11.3,0.84166336,47,12,8,5,6,7,9,2.095,,0.0,-50.67831,,-6.372193,432.84686,2.6956108,,-0.47177,1.461,0.10848,0.34212002,0.2189,18.85714,1.0,7.0,,7078928
SIBN,"SI-BONE, Inc.",Healthcare,Medical Devices,16.55,0.718125248,47,6,10,10,6,3,12,0.206,,0.79619,-0.11063,,-33.547523,3.7097461,4.160382,,-0.12907,21.401,0.03288,1.05818,0.0614,25.4,1.4,10.0,0.696,593281
SRTA,"Strata Critical Medical, Inc.",Healthcare,Medical Care Facilities,5.07,0.437878304,47,12,12,5,2,4,12,2.083,,0.19604999,-0.42798,,,6.520121,1.2137898,,-0.24500999,0.246,0.11967,0.69332004,0.1035,9.625,,2.0,-0.21,930011
TDC,Teradata Corporation,Technology,Software - Infrastructure,28.83,2.724434944,47,11,5,11,2,3,15,-0.055,0.273,0.59419,0.14663,23.826445,11.573666,1.6501725,12.336329,,0.68605006,261.644,0.01702,1.0438501,0.08939999,28.81818,2.81818,11.0,0.57,1511326
TIC,"TIC Solutions, Inc.",Industrials,Specialty Business Services,10.38,2.296156416,47,12,14,3,2,7,9,0.564,,0.25308,0.025829999,,26.429699,1.7881863,1.0803497,,-0.03513,87.916,0.082159996,0.68291,0.0867,14.25,2.2,6.0,0.439,2675526
TNGX,"Tango Therapeutics, Inc.",Healthcare,Biotechnology,11.67,1.571681664,47,12,2,10,6,2,15,3.636,,-1.01502,0.26150998,,-9.016527,23.633955,8.138075,,-0.51652,21.723,0.04952,0.97497004,0.36810002,13.625,1.3,8.0,1.754,3000925
XNCR,"Xencor, Inc.",Healthcare,Biotechnology,12.38,0.884061632,47,6,14,4,6,2,15,0.18,,-0.50312,-2.2629201,,-4.7230997,5.888562,1.4124358,,-0.19564,32.368,0.0124699995,1.1830001,0.206,28.83333,,12.0,0.971,794913
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,27.61,1.610044416,46,9,9,5,6,2,15,0.437,,0.0,-9.07368,,-4.1992397,35.945713,1.2528929,,-0.27569,3.466,0.0174,1.04208,0.1287,36.75,1.6,8.0,0.892,1664188
AUB,Atlantic Union Bankshares Corpo,Financial Services,Banks - Regional,39.2,5.586712064,46,23,9,5,2,3,4,0.915,0.3,0.0,0.53363,19.310345,9.732409,4.5326047,1.1101357,,0.06718,,0.00907,0.86971,0.0598,44.4375,1.77778,8.0,,1188203
BAND,Bandwidth Inc.,Technology,Software - Infrastructure,13.99,0.426996896,46,0,15,2,8,6,15,-0.01,,0.38814998,-0.0104600005,,6.525186,0.56472254,1.087193,,-0.03201,122.121,0.042930003,0.74691004,0.0467,22.75,1.8,4.0,2.103,211866
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,25.88,13.49359104,46,8,10,11,4,9,4,0.06,,0.37402,0.17558001,28.439558,9.212652,1.538485,1.1162871,,0.03818,23.699,0.48334998,0.47139,0.059499998,25.72727,3.0,11.0,1.466,4327666
BKKT,"Bakkt, Inc.",Technology,Software - Infrastructure,13.63,0.34776096,46,6,15,5,0,5,15,0.271,,-0.01324,-0.04892,,14.197917,0.08982646,1.961998,,-0.67517996,9.734,0.37245,0.22534001,0.1571,40.0,,1.0,5.811,1582011
BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,22.58,1.087182976,46,9,7,9,6,3,12,0.312,,0.6428,-0.00317,,141.125,10.856196,3.0616949,,-0.05248,5.845,0.01743,1.06419,0.083000004,32.44444,,9.0,1.931,339418
CNMD,CONMED Corporation,Healthcare,Medical Devices,37.31,1.1554144,46,8,14,8,2,2,12,0.067,-0.943,0.56486,0.10837,24.70861,7.527672,0.8574695,1.1454624,,0.06601,84.676,0.00587,1.1450499,0.1025,48.6,2.83333,5.0,0.965,589901
CTLP,"Cantaloupe, Inc.",Technology,Software - Infrastructure,10.75,0.792245248,46,3,8,14,4,2,15,0.141,,0.41107,0.10915,13.4375,22.395834,2.5346577,3.1460345,,0.27076,18.826,0.12069,0.97486,0.1318,11.2,,1.0,1.1,802343
CVI,CVR Energy Inc.,Energy,Oil & Gas Refining & Marketing,22.28,2.239821824,46,3,10,10,6,8,9,0.061,,0.10741,0.26543,13.503031,26.08319,0.30686694,2.6663477,,0.25936002,182.997,0.70047,0.32694998,0.21059999,25.83333,4.0,6.0,1.109,1183170
CVRX,"CVRx, Inc.",Healthcare,Medical Devices,7.01,0.183732864,46,3,12,5,8,6,12,0.098,,0.84486,-0.83513,,-3.6653404,3.2827613,3.8201635,,-0.91883004,105.142,0.04295,0.64862,0.0687,11.0,1.66667,5.0,1.277,273643
DV,"DoubleVerify Holdings, Inc.",Communication Services,Advertising Agencies,11.09,1.814638848,46,8,12,12,4,1,9,0.112,-0.4,0.82017,0.11189,42.653847,10.319927,2.4745388,1.6599311,,0.04053,9.581,0.00889,1.0275,0.09729999,13.77778,2.3,18.0,0.979,2607636
EZPW,"EZCORP, Inc.",Financial Services,Credit Services,21.09,1.28429952,46,16,12,10,2,2,4,0.143,0.627,0.58548,0.11274,14.852113,12.3767605,1.0078629,1.252301,,0.11979,74.624,0.04607,1.15688,0.3057,25.4,1.83333,5.0,0.549,928031
FLY,Firefly Aerospace Inc.,Industrials,Aerospace & Defense,27.09,4.314113024,46,9,5,5,2,10,15,0.376,,-0.04908,-1.8478501,,-31.919407,38.790398,4.229508,,,4.687,0.21013,0.52301,0.0326,38.28571,1.875,7.0,,2995233
FSK,FS KKR Capital Corp.,Financial Services,Asset Management,13.82,3.870518016,46,11,12,10,2,7,4,-0.154,0.338,1.0,0.74799,14.10204,6.5980763,2.4527998,0.6284389,,0.0424,119.435,0.00184,0.31309998,0.0153,17.325,2.63636,10.0,0.881,2558390
FSLY,"Fastly, Inc.",Technology,Software - Application,9.62,1.437228032,46,6,10,8,6,4,12,0.153,,0.54952,-0.18195,,72.93957,2.4278114,1.5320911,,-0.14588,43.642,0.06902,0.74272,0.1039,10.92857,2.7,7.0,0.979,4503661
GEO,Geo Group Inc (The) REIT,Industrials,Security & Protection Services,16.34,2.31267584,46,11,15,6,2,3,9,0.131,5.526,0.25504,0.114750005,9.668639,12.308851,0.9135328,1.4682362,,0.16795999,107.263,0.04249,0.95004,0.0757,32.25,1.0,4.0,0.727,1923111
GLDD,Great Lakes Dredge & Dock Corpo,Industrials,Engineering & Construction,15.27,1.038349376,46,11,8,8,6,4,9,0.021,1.0,0.23817,0.14417,12.831932,13.745983,1.2441297,2.028158,,0.17368999,96.907,0.02372,0.82824,0.0286,17.0,1.5,5.0,1.405,605656
GTY,Getty Realty Corporation,Real Estate,REIT - Retail,29.26,1.689570048,46,14,7,12,6,3,4,0.08,0.473,0.95295995,0.64057,22.859375,20.728693,7.8880363,1.6689483,,0.07536,93.897,0.0729,0.86573,0.0865,31.875,2.22222,8.0,0.87,411363
HESM,Hess Midstream LP,Energy,Oil & Gas Midstream,36.04,7.570698752,46,11,4,15,4,3,9,0.112,0.19,0.7703,0.61511004,12.8256235,12.703247,4.693552,8.144632,,1.58632,889.777,0.00873,0.91526,0.0851,36.83333,3.0,6.0,0.579,1532661
HIMS,"Hims & Hers Health, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,29.87,6.799861248,46,14,8,11,2,2,9,0.492,-0.803,0.75012,0.019709999,56.358494,26.783714,3.075527,11.69538,,0.26207,192.437,0.06311,0.94452006,0.39259997,41.61538,2.86667,13.0,2.37,18619651
KPTI,Karyopharm Therapeutics Inc.,Healthcare,Biotechnology,6.63,0.121397184,46,3,10,5,6,7,15,0.136,,1.0433899,-0.34555998,,-1.3461928,0.85173076,-0.21427187,,,,0.05284,0.30429,0.0467,15.33333,1.66667,6.0,0.21,265293
KRP,Kimbell Royalty Partners,Energy,Oil & Gas E&P,13.44,1.450015104,46,3,9,14,4,7,9,0.04,-0.152,0.93455005,0.37375,,23.578947,4.5956264,2.3168418,,0.041199997,57.788,0.0325,0.30976,0.0148,16.25,2.5,4.0,0.297,671008
LFST,"LifeStance Health Group, Inc.",Healthcare,Medical Care Facilities,7.07,2.750232064,46,6,12,5,8,3,12,0.163,,0.32484,0.02016,,28.320782,2.0110357,1.8425854,,-0.00622,31.73,0.0414,0.94068,0.0925,8.88889,1.4,9.0,1.114,2188746
MEG,"Montrose Environmental Group, I",Industrials,Waste Management,22.2,0.784496256,46,6,15,5,8,3,9,0.259,,0.40768,0.0476,,15.877557,0.94938207,1.7092701,,-0.04166,80.578,0.06837,0.9707,0.067600004,33.33333,1.85714,6.0,1.974,350233
MSIF,"MSC Income Fund, Inc.",Financial Services,Asset Management,13.67,0.64851168,46,11,11,14,2,4,4,0.056,2.056,1.0,0.72607005,7.679775,9.286054,4.709872,0.8798919,,0.117019996,71.992,0.0046900003,0.105399996,0.0008,15.8,2.16667,5.0,0.779,246255
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,31.02,7.464098816,46,11,7,10,8,1,9,0.021,0.233,0.72330004,0.30826,14.495327,8.179301,2.1514297,-33.10566,,,,0.0065200003,1.09582,0.0692,37.58824,2.4,17.0,1.334,3593815
NTLA,"Intellia Therapeutics, Inc.",Healthcare,Biotechnology,13.9,1.610035968,46,12,8,5,6,0,15,0.513,,0.0,-8.08859,,-3.8565154,27.986998,2.150371,,-0.52109003,13.09,0.04498,0.86741996,0.4122,23.85714,2.29167,21.0,2.056,6029396
OFIX,Orthofix Medical Inc.,Healthcare,Medical Devices,13.13,0.519943552,46,3,15,8,4,4,12,0.046,,0.69018,-0.08351,,18.757143,0.63558275,1.1726356,,-0.246,46.212,0.02392,0.91332,0.0272,21.04,1.83333,5.0,0.79,224213
PCN,Pimco Corporate & Income Strate,Financial Services,Asset Management,12.79,0.915277376,46,14,5,17,6,0,4,0.169,0.521,1.0,0.92316,8.251613,,10.859186,1.0823389,,0.13112001,8.4,0.0,0.14545,,,,,0.846,338606
PENG,"Penguin Solutions, Inc.",Technology,Information Technology Services,19.74,1.037537536,46,8,12,4,8,2,12,0.006,-0.611,0.28661,0.06949,89.72727,8.198764,0.75690514,2.6625304,,0.05709,87.582,0.02545,1.13414,0.19590001,26.875,1.625,8.0,2.227,1171895
PRG,"PROG Holdings, Inc.",Industrials,Rental & Leasing Services,32.42,1.282067968,46,0,12,13,10,2,9,-0.018,-0.577,0.35077998,0.15890999,8.228426,9.013893,0.51135874,1.8222696,,0.24561001,85.663,0.01906,1.04838,0.1294,41.0,1.625,7.0,1.751,486308
PTY,Pimco Corporate & Income Opport,Financial Services,Asset Management,13.06,2.502230784,46,14,5,17,6,0,4,0.2,0.533,1.0,0.94367,9.132868,,10.120819,1.1136693,,0.13516,11.567,0.0,0.14518,,,,,0.88,1152315
RDN,Radian Group Inc.,Financial Services,Insurance - Specialty,33.18,4.495526912,46,5,11,17,6,3,4,-0.033,0.034,0.91260004,0.74171996,8.378788,7.464265,3.530819,0.96616393,,0.12132,27.351,0.01245,0.96072,0.056999996,39.33333,,6.0,0.821,946560
RNST,Renasant Corporation,Financial Services,Banks - Regional,38.04,3.614613504,46,20,9,5,4,4,4,0.627,0.198,0.0,0.4348,18.376812,9.901944,4.1150346,0.92665225,,0.05524,,0.01699,0.89562,0.0392,43.28571,1.57143,7.0,0.984,557895
RPD,"Rapid7, Inc.",Technology,Software - Infrastructure,11.73,0.768089472,46,8,11,11,0,1,15,0.015,-0.286,0.70487,0.027999999,33.514286,5.920116,0.8945138,6.024653,,0.37091,763.1,0.025179999,0.98068,0.08189999,18.43318,2.61538,22.0,0.798,1183083
RWAY,Runway Growth Finance Corp.,Financial Services,Asset Management,9.27,0.334962528,46,8,12,14,2,6,4,0.003,-0.661,1.0,0.7175,6.349315,6.2429714,2.374425,0.68423384,,0.11015,90.599,0.010729999,0.57594,0.08930001,10.75,2.11111,8.0,0.597,374213
SENS,"Senseonics Holdings, Inc.",Healthcare,Medical Devices,6.96,0.28437488,46,12,10,6,2,4,12,0.899,,0.41112,-2.42137,,-2.9243696,9.70629,3.6344647,,-1.2929,52.663,0.08997,0.15524,0.1018,18.91667,2.0,6.0,0.643,435448
SKT,Tanger Inc.,Real Estate,REIT - Retail,32.91,3.768524032,46,14,3,14,8,3,4,0.104,0.273,0.73538,0.33396,35.01064,29.3876,6.55236,5.383609,,0.16951999,232.926,0.023239998,0.94878995,0.0588,36.81818,2.25,11.0,1.054,855498
SNDR,"Schneider National, Inc.",Industrials,Trucking,29.71,5.20815104,46,8,10,6,4,9,9,0.104,-0.353,0.1693,0.024300002,46.421875,19.005884,0.92774075,1.7240179,,0.038110003,17.286,0.50395,0.62788,0.0738,30.73333,2.125,15.0,1.086,937778
SSYS,"Stratasys, Ltd.",Technology,Computer Hardware,11.24,0.960300608,46,0,12,7,8,10,9,-0.022,,0.43611,-0.16118999,,46.350513,1.7103603,1.1263653,,-0.15125,3.647,0.16267,0.62255,0.033800002,13.16667,,3.0,1.439,924303
TBPH,"Theravance Biopharma, Inc.",Healthcare,Biotechnology,19.18,0.97189728,46,11,5,11,2,2,15,0.185,,0.50817,-0.32291,33.649124,11.3491125,12.09926,4.1768293,,0.14029,19.166,0.04065,0.97786003,0.1432,26.71429,1.57143,7.0,0.138,500461
TEI,Templeton Emerging Markets Inco,Financial Services,Asset Management,6.74,0.31831952,46,11,7,19,0,5,4,0.111,4.094,1.0,0.91419,6.017857,,8.296034,1.0602485,,0.18368,21.648,0.0,0.40597,0.0069,,,,0.663,216786
TRIP,"TripAdvisor, Inc.",Consumer Cyclical,Travel Services,13.42,1.568909824,46,16,12,6,6,2,4,0.039,0.593,0.62242,0.12658,22.366667,7.5892096,0.82967204,2.2170825,,0.095699996,177.793,0.01155,1.15835,0.27969998,17.53333,2.94444,15.0,0.997,2455113
TRS,TriMas Corporation,Consumer Cyclical,Packaging & Containers,34.41,1.3986176,46,19,12,6,2,3,4,0.174,2.813,0.23103,0.09314,31.861109,28.25123,1.379661,1.9289197,,0.06262,65.344,0.22161,0.99243,0.1306,41.5,,2.0,0.571,643556
UE,Urban Edge Properties,Real Estate,REIT - Retail,19.2,2.595228672,46,11,11,9,8,3,4,0.068,0.696,0.65944,0.30083,21.573034,53.333332,5.536582,1.8620892,,0.085319996,122.188,0.00092,1.01152,0.053200003,22.28571,2.14286,7.0,1.057,839336
