ticker,company_name,sector,industry,current_price,market_cap_billions,total_score,growth_score,value_score,quality_score,momentum_score,sentiment_score,sector_score,revenue_growth,earnings_growth,gross_margin,operating_margin,trailing_pe,forward_pe,price_to_sales,price_to_book,peg_ratio,return_on_equity,debt_to_equity,insider_ownership,institutional_ownership,short_percent,target_price,recommendation,num_analysts,beta,average_volume
VITL,"Vital Farms, Inc.",Consumer Defensive,Farm Products,28.13,1.2595072,64,22,13,14,6,5,4,0.372,1.25,0.37805998,0.10757,21.310604,16.498533,1.7692665,3.8023791,,0.20712,16.992,0.20678,0.99833,0.3545,49.45455,1.16667,11.0,1.108,1842780
AVPT,"AvePoint, Inc.",Technology,Software - Infrastructure,11.92,2.57220864,63,14,8,12,6,8,15,0.236,5.0,0.74505997,0.100889996,,30.465675,6.5285645,5.428051,,0.0067299996,4.058,0.2942,0.69388,0.061100002,19.01792,1.57143,13.0,1.092,1952350
BKV,BKV Corporation,Energy,Oil & Gas E&P,30.25,2.933413376,63,22,9,14,2,7,9,0.492,4.0,0.54271,0.41307,63.020836,14.473685,3.5663517,1.5141655,,0.027209999,27.744,0.69588995,0.23746,0.1458,31.0,1.11111,9.0,,877141
III,"Information Services Group, Inc",Technology,Information Technology Services,5.59,0.269412672,63,16,10,8,8,9,12,0.018,2.0,0.42238998,0.07357,29.421053,15.74648,1.116556,2.8303797,,0.10216,72.351,0.2755,0.68657994,0.0176,7.16667,1.5,3.0,1.042,301943
KROS,"Keros Therapeutics, Inc.",Healthcare,Biotechnology,17.99,0.548084544,63,17,14,9,6,2,15,35.758,,0.37191,-1.07867,11.532051,-6.1160727,2.221502,1.0389235,,0.10425,2.477,0.036340002,1.07981,0.1487,23.5,,8.0,0.9,808996
PAY,"Paymentus Holdings, Inc.",Technology,Software - Infrastructure,27.48,3.446775296,63,20,9,9,6,4,15,0.342,0.273,0.24768,0.06392,58.468082,36.259514,3.0667279,6.413069,,0.118090004,1.369,0.04296,0.94945,0.0355,39.42857,,7.0,1.493,744703
BSY,"Bentley Systems, Incorporated",Technology,Software - Application,35.07,10.648337408,62,14,7,14,6,9,12,0.12,0.344,0.81274,0.23074,42.76829,26.120764,7.2932873,9.221667,,0.24120001,107.353,0.44957,0.47425997,0.069,53.71429,1.875,14.0,1.214,2110278
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Midstream,29.74,1.274005504,62,22,9,13,2,7,9,0.466,4.909,0.61452997,0.49196997,13.396396,10.398602,3.5486784,1.1945214,,0.0881,65.49,0.14299,0.65529996,0.0509,33.25,1.25,4.0,0.739,501368
NPB,"Northpointe Bancshares, Inc.",Financial Services,Banks - Regional,17.52,0.602068864,62,25,12,9,2,10,4,0.551,0.527,0.0,0.48624,8.303318,5.7068405,2.5125883,1.068749,,0.16172001,,0.32019,0.50891995,0.0222,21.16667,2.33333,3.0,,333360
OPRX,OptimizeRx Corporation,Healthcare,Health Information Services,10.82,0.201691856,62,11,15,11,8,8,9,0.223,,0.65309995,0.07864,1082.0,12.539693,1.8418338,1.645377,,0.00029,23.399,0.15538,0.75304,0.092700005,24.33333,,6.0,1.087,275083
TLS,Telos Corporation,Technology,Software - Infrastructure,5.59,0.41228672,62,12,13,7,6,9,15,1.163,,0.43206,-0.04797,,58.842106,2.8551712,3.3735669,,-0.23732,7.184,0.28819,0.66275,0.027,8.7,,5.0,0.951,970043
ABX,"Abacus Global Management, Inc.",Financial Services,Insurance - Life,8.05,0.786910528,61,17,14,12,6,8,4,1.237,,0.87516,0.35591,161.0,8.131313,4.003592,1.8098022,,0.03176,94.287,0.61691004,0.30778998,0.4404,13.5,1.4,5.0,-0.104,675611
HIPO,Hippo Holdings Inc.,Financial Services,Insurance - Property & Casualty,30.5,0.772723008,61,11,14,14,8,10,4,0.262,,0.49155998,0.06385,8.090186,-762.5,1.7171623,1.8333734,,0.27541,12.622,0.22838,0.50272,0.025,39.66667,2.25,3.0,1.579,200670
OPFI,OppFi Inc.,Financial Services,Credit Services,9.72,0.848615616,61,19,11,15,8,4,4,0.183,2.664,1.0,0.51287997,138.85715,5.586207,2.5299864,5.488425,,0.48949,120.018,0.05683,0.73477,0.1595,15.16667,2.0,3.0,1.712,563990
PACS,"PACS Group, Inc.",Healthcare,Medical Care Facilities,34.18,5.303967232,61,22,8,7,4,8,12,0.31,2.2,0.14936,0.06416,32.552383,16.772003,1.032133,6.1441665,,0.21749,416.688,0.71936,0.29556,0.0939,44.2,1.4,5.0,,1699166
PAYO,Payoneer Global Inc.,Technology,Software - Infrastructure,6.43,2.316828928,61,14,10,10,8,4,15,0.47,,0.84082,-0.03012,35.72222,22.2276,2.2281058,4.493361,,0.09791,2.806,0.025039999,0.96910006,0.0398,8.375,1.4,8.0,1.0,3451305
RELY,"Remitly Global, Inc.",Technology,Software - Infrastructure,13.41,2.803305984,61,19,12,10,2,3,15,0.247,3.093,0.59459,0.02807,149.0,13.415769,1.814596,3.5215335,,0.0294,4.452,0.0561,0.91333,0.0635,19.85714,1.25,7.0,0.108,3778976
SSTK,"Shutterstock, Inc.",Communication Services,Internet Content & Information,19.8,0.703302912,61,8,14,14,8,8,9,0.038,-0.26,0.5864,0.15215,11.785714,4.744413,0.68950593,1.1827251,,0.107559994,51.566,0.31739,0.67361,0.0645,27.56667,,3.0,1.264,244593
STOK,"Stoke Therapeutics, Inc.",Healthcare,Biotechnology,31.07,1.774629888,61,17,5,14,8,2,15,1.172,,1.0,-4.05295,45.691177,-9.906735,8.630125,5.5581393,,0.15019,1.552,0.040599998,1.21463,0.2339,39.625,1.1,8.0,1.106,952076
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,11.97,13.257972736,60,25,7,14,4,6,4,5.461,7.759,1.0,0.95879,8.142858,7.971816,7.377837,1.2717807,,0.15076,688.679,0.00483,0.38787997,0.0586,11.77778,2.5,9.0,1.348,19970641
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,23.05,2.916406016,60,17,9,11,6,2,15,1.33,,0.59529,0.48668,64.02777,-17.73077,2.869357,7.269,,0.14096,118.497,0.13598,1.03638,0.1884,33.94737,1.95455,19.0,0.298,2710760
